minority,age,gender,credits,beauty,eval,division,native,tenure,students,allstudents
no,63,male,more,-0.0102077,3.4,upper,yes,no,8,10
no,63,male,more,-0.0102077,3,upper,yes,no,23,47
no,47,male,more,-0.923957,3.9,upper,yes,yes,10,14
no,47,male,more,-0.923957,2.8,upper,yes,yes,10,12
no,39,male,more,0.5766805,3.7,lower,yes,yes,154,316
no,39,male,more,0.5766805,4.6,upper,yes,yes,12,15
no,39,male,more,0.5766805,4.2,upper,yes,yes,14,15
no,39,male,more,0.5766805,4.4,upper,yes,yes,27,29
yes,47,female,more,-0.0836015,3.8,upper,yes,yes,8,8
yes,47,female,single,-0.0836015,4.1,lower,yes,yes,16,16
yes,47,female,more,-0.0836015,3.7,lower,yes,yes,24,26
yes,47,female,more,-0.0836015,4.1,upper,yes,yes,7,10
yes,47,female,more,-0.0836015,3,lower,yes,yes,25,26
yes,47,female,more,-0.0836015,3.2,lower,yes,yes,24,26
yes,47,female,more,-0.0836015,2.8,lower,yes,yes,24,26
yes,47,female,single,-0.0836015,4.7,lower,yes,yes,20,21
yes,47,female,more,-0.0836015,4.2,lower,yes,yes,12,12
yes,47,female,more,-0.0836015,3.2,lower,yes,yes,25,27
yes,47,female,more,-0.0836015,3.1,lower,yes,yes,26,27
yes,47,female,more,-0.0836015,4,lower,yes,yes,24,25
no,54,male,more,-1.079558,4.2,upper,yes,yes,10,15
no,54,male,more,-1.079558,4.3,upper,yes,yes,16,17
yes,44,female,more,1.040902,3.3,upper,yes,yes,35,48
yes,44,female,more,1.040902,4.1,upper,yes,yes,21,21
yes,44,female,more,1.040902,3.7,upper,yes,yes,35,39
yes,47,male,more,-1.052108,3.3,upper,yes,yes,9,14
yes,47,male,more,-1.052108,3.8,upper,yes,yes,21,26
yes,47,male,more,-1.052108,3.4,upper,yes,yes,13,16
yes,47,male,more,-1.052108,4.2,upper,yes,yes,13,16
yes,47,male,more,-1.052108,3.8,upper,yes,yes,12,13
yes,47,male,more,-1.052108,3.5,upper,yes,yes,14,14
yes,47,male,more,-1.052108,3.3,upper,yes,yes,15,17
no,62,male,more,-0.7277681,4.3,upper,yes,yes,13,15
no,62,male,more,-0.7277681,4.1,upper,yes,yes,7,10
no,60,male,more,-0.3953965,4.5,upper,yes,yes,12,16
no,60,male,more,-0.3953965,4.5,upper,yes,yes,11,14
no,60,male,more,-0.3953965,4.6,upper,yes,yes,8,12
no,60,male,more,-0.3953965,4.4,upper,yes,yes,24,39
no,60,male,more,-0.3953965,4.1,upper,yes,yes,15,35
no,60,male,more,-0.3953965,4.5,upper,yes,yes,31,45
no,60,male,more,-0.3953965,4.3,lower,yes,yes,36,45
no,42,male,more,-0.2377786,4.4,upper,yes,yes,14,14
no,42,male,more,-0.2377786,4.9,upper,yes,yes,13,14
no,42,male,more,-0.2377786,4.7,upper,yes,yes,12,12
no,42,male,more,-0.2377786,4.6,upper,yes,yes,13,15
no,35,male,more,0.274908,4.8,lower,yes,yes,21,23
no,35,male,more,0.274908,4.2,upper,yes,yes,49,57
no,35,male,more,0.274908,4.6,lower,yes,yes,44,50
no,39,female,more,1.970023,4.7,upper,yes,no,18,23
no,39,female,more,1.970023,4.6,upper,yes,no,20,23
no,39,female,more,1.970023,3.6,lower,yes,no,27,28
no,49,male,more,1.05095,3.9,upper,yes,yes,27,42
no,49,male,more,1.05095,4,upper,yes,yes,49,57
no,61,male,more,0.2418185,4.4,upper,yes,yes,31,38
no,61,male,more,0.2418185,4.5,lower,yes,yes,19,22
no,61,male,more,0.2418185,4.4,upper,yes,yes,27,43
no,33,male,more,1.349395,3,upper,yes,yes,12,13
no,33,male,more,1.349395,3.7,upper,yes,yes,13,15
no,56,female,more,-0.2577254,3.6,upper,yes,yes,16,20
no,56,female,more,-0.2577254,3.1,upper,yes,yes,17,23
no,50,female,single,-0.6562689,3.8,lower,yes,no,24,32
no,50,female,single,-0.6562689,4.7,lower,yes,no,14,21
no,50,female,more,-0.6562689,3.8,upper,yes,no,23,24
no,50,female,more,-0.6562689,3.8,upper,yes,no,19,21
no,50,female,more,-0.6562689,2.8,upper,yes,no,18,28
no,50,female,more,-0.6562689,4,upper,yes,no,23,29
no,52,male,more,-0.6563948,4,upper,yes,yes,81,89
no,52,male,more,-0.6563948,3.5,upper,yes,yes,74,82
no,52,male,more,-0.6563948,3.4,upper,yes,yes,102,122
no,52,male,more,-0.6563948,4,upper,yes,yes,94,131
no,52,male,more,-0.6563948,3.5,upper,yes,yes,89,114
no,52,male,more,-0.6563948,3.8,upper,yes,yes,133,149
no,52,male,more,-0.6563948,4.7,upper,yes,yes,22,23
no,52,male,more,-0.6563948,3.9,upper,yes,yes,78,98
no,52,male,more,-0.6563948,4.5,upper,yes,yes,22,27
no,52,male,more,-0.6563948,4.2,upper,yes,yes,27,30
no,52,male,more,-0.6563948,4.7,upper,yes,yes,27,30
no,52,male,more,-0.6563948,4,upper,yes,yes,60,69
no,33,female,more,0.7244775,4.8,upper,yes,yes,10,10
no,33,female,more,0.7244775,4.8,upper,yes,yes,10,11
no,33,female,more,0.7244775,4.4,upper,yes,yes,10,14
no,33,female,more,0.7244775,4.7,upper,yes,yes,7,11
no,33,female,more,0.7244775,4.5,upper,yes,yes,14,14
no,57,male,more,0.6318343,4.2,upper,yes,yes,36,41
no,57,male,more,0.6318343,4.4,upper,yes,yes,72,88
no,57,male,more,0.6318343,4.1,upper,yes,yes,63,78
no,38,female,more,1.070944,4.2,lower,yes,yes,109,157
no,38,female,more,1.070944,4.8,upper,yes,yes,54,68
no,38,female,more,1.070944,4.4,upper,yes,yes,51,67
no,38,female,more,1.070944,4.7,upper,yes,yes,61,80
no,38,female,more,1.070944,4.2,lower,yes,yes,102,137
no,38,female,more,1.070944,4.5,upper,yes,yes,58,69
no,34,female,more,-1.450494,3.4,lower,yes,yes,46,80
no,34,female,more,-1.450494,3.7,lower,yes,yes,53,90
no,34,female,more,-1.450494,3.6,upper,yes,yes,19,34
no,34,female,more,-1.450494,3.9,upper,yes,yes,41,73
no,34,female,more,-1.450494,3.9,upper,yes,yes,25,44
no,34,male,more,1.15588,3.7,upper,yes,yes,16,20
no,34,male,more,1.15588,3,lower,yes,yes,20,35
no,32,male,more,-0.3260148,3.6,lower,yes,yes,69,168
no,32,male,more,-0.3260148,3.6,lower,yes,yes,98,247
no,32,male,more,-0.3260148,4.3,upper,yes,yes,20,22
no,32,male,more,-0.3260148,4.5,upper,yes,yes,72,103
no,42,female,more,0.8846435,3.9,upper,yes,yes,51,82
no,43,female,more,-0.5583452,4.6,upper,yes,yes,18,35
no,43,female,more,-0.5583452,4.1,lower,yes,yes,26,34
no,43,female,more,-0.5583452,4.2,lower,yes,yes,28,37
no,43,female,more,-0.5583452,4.1,lower,yes,yes,13,14
no,43,female,more,-0.5583452,3.1,lower,yes,yes,174,266
no,43,female,more,-0.5583452,3.6,lower,yes,yes,171,254
no,43,female,more,-0.5583452,4.2,upper,yes,yes,10,13
no,43,female,more,-0.5583452,3,lower,yes,yes,166,282
no,43,female,more,-0.5583452,4.2,upper,yes,yes,17,17
no,35,male,more,-0.3415543,3.4,lower,no,yes,22,42
no,62,female,more,-0.5040575,3.1,upper,yes,yes,9,16
no,62,female,more,-0.5040575,2.7,upper,yes,yes,14,19
no,52,female,more,0.773524,3.9,upper,yes,yes,70,98
no,52,female,more,1.063938,3.9,upper,yes,yes,49,65
no,52,female,more,1.063938,3.6,upper,yes,yes,32,63
no,52,female,more,-1.090389,3.7,upper,yes,no,35,43
no,52,female,more,-1.090389,3.6,upper,yes,no,59,80
no,52,female,more,-1.090389,4.4,upper,yes,no,45,52
no,52,female,more,-1.090389,4.3,upper,yes,no,34,48
no,52,female,more,-1.090389,4.1,upper,yes,no,50,66
no,52,female,more,-1.090389,3.7,upper,yes,no,67,100
no,64,male,more,-1.069162,3.6,upper,yes,yes,8,16
no,64,male,more,-1.069162,2.8,upper,yes,yes,18,22
no,64,male,more,-1.069162,4,upper,yes,yes,5,11
no,64,male,more,-1.069162,4.4,upper,yes,yes,5,10
no,64,male,more,-1.069162,3.6,upper,yes,yes,16,16
no,50,male,more,1.415695,3.7,upper,yes,yes,9,10
no,60,male,more,-1.422919,2.9,upper,yes,yes,7,10
no,60,male,more,-1.422919,2.6,upper,yes,yes,10,16
no,43,male,single,-0.4899626,4.8,lower,yes,yes,15,28
no,43,male,single,-0.4899626,4.9,lower,yes,yes,18,30
no,43,male,more,-0.4899626,4.3,lower,yes,yes,11,15
no,43,male,more,-0.4899626,4.4,lower,yes,yes,10,13
no,43,male,single,-0.4899626,4.3,lower,yes,yes,17,18
no,43,male,single,-0.4899626,4.7,lower,yes,yes,22,26
no,43,male,single,-0.4899626,4.3,lower,yes,yes,18,30
no,43,male,more,-0.4899626,4.6,lower,yes,yes,14,14
yes,50,male,single,-0.5835869,4.9,lower,yes,no,20,22
yes,50,male,single,-0.5835869,4.8,lower,yes,no,21,25
yes,50,male,single,-0.5835869,4.7,lower,yes,no,23,26
yes,50,male,single,-0.5835869,4.8,lower,yes,no,19,22
yes,50,male,single,-0.5835869,4.9,lower,yes,no,20,26
yes,50,male,single,-0.5835869,4.8,lower,yes,no,17,20
yes,50,male,single,-0.5835869,4.8,lower,yes,no,18,22
yes,50,male,single,-0.5835869,5,lower,yes,no,20,21
yes,50,male,single,-0.5835869,4.5,lower,yes,no,19,21
no,52,male,more,0.7566829,3.8,upper,yes,yes,46,65
no,52,male,more,0.7566829,3.8,upper,yes,yes,39,62
no,52,male,more,0.7566829,3.8,upper,yes,yes,34,67
no,52,male,more,0.7566829,4,upper,yes,yes,29,40
no,52,male,more,0.7566829,4.2,upper,yes,yes,27,45
no,51,male,more,0.8808186,4.5,lower,yes,yes,372,579
no,51,male,more,0.8808186,4.5,lower,yes,yes,343,537
no,51,male,more,0.8808186,4.6,lower,yes,yes,380,581
no,51,male,more,0.8808186,4.7,lower,yes,yes,322,527
no,38,male,more,-0.5665014,4.1,lower,yes,yes,66,84
no,38,male,more,-0.5665014,3.6,lower,yes,yes,40,79
no,38,male,more,-0.5665014,4,lower,yes,yes,60,92
no,47,female,more,0.3394037,3.4,lower,yes,yes,38,67
yes,43,female,more,-0.1513687,2.8,lower,yes,yes,93,190
no,38,female,more,-1.024997,4.1,lower,yes,no,36,60
no,38,female,more,-1.024997,3.5,lower,yes,no,29,64
no,38,female,more,-1.024997,3.4,lower,yes,no,23,31
no,38,female,more,-1.024997,4.1,lower,yes,no,36,62
no,38,female,more,-1.024997,4.2,lower,yes,no,30,37
no,43,male,more,-0.0252444,4.3,lower,yes,yes,8,13
no,43,male,more,-0.0252444,4.1,upper,yes,yes,12,15
no,43,male,more,-0.0252444,3.4,upper,yes,yes,65,79
no,57,male,more,-0.7467875,3.5,upper,yes,yes,53,98
no,57,male,more,-0.7467875,3.6,upper,yes,yes,58,97
no,51,female,more,0.9889485,3.7,upper,yes,yes,67,78
no,51,female,more,0.9889485,3,upper,yes,yes,36,56
no,51,female,more,0.9889485,4.6,upper,yes,yes,17,20
no,45,male,single,-0.5324199,4,lower,yes,no,17,20
no,45,male,more,-0.5324199,4.8,lower,yes,no,13,19
no,45,male,single,-0.5324199,4.6,lower,yes,no,19,26
no,57,male,more,-0.7668921,3.4,lower,yes,yes,12,18
no,57,male,more,-0.7668921,4.4,lower,yes,yes,12,12
no,57,male,more,-0.7668921,3.6,lower,yes,yes,16,19
no,57,male,more,-0.7668921,3.8,lower,yes,yes,12,16
no,57,male,more,-0.7668921,3.7,lower,yes,yes,14,16
no,57,male,more,-0.7668921,4.7,lower,yes,yes,11,12
no,57,male,more,-0.7668921,4.5,lower,yes,yes,15,17
no,57,male,more,-0.7668921,5,upper,yes,yes,6,15
no,57,male,more,-0.7668921,3.8,lower,yes,yes,15,16
no,57,male,more,-0.7668921,4.1,lower,yes,yes,12,17
no,47,female,single,1.154256,4.3,lower,yes,no,15,17
no,47,female,single,1.154256,4.4,lower,yes,no,10,10
no,47,female,single,1.154256,4.7,lower,yes,no,16,17
no,47,female,more,1.154256,3.9,lower,yes,no,15,17
yes,54,female,more,1.232602,4.8,lower,yes,yes,15,16
yes,54,female,more,1.232602,4.3,lower,yes,yes,21,26
yes,54,female,more,1.232602,4.6,lower,yes,yes,14,18
yes,54,female,more,1.232602,3.8,lower,yes,yes,16,20
no,58,male,more,1.774334,5,lower,yes,no,21,21
no,58,male,more,1.774334,4.9,lower,yes,no,18,21
no,58,male,more,1.774334,4.6,lower,yes,no,17,20
no,58,male,more,1.774334,4.6,lower,yes,no,19,20
no,58,male,more,1.774334,5,lower,yes,no,11,13
no,58,male,more,1.774334,4.6,lower,yes,no,14,16
no,58,male,more,1.774334,4.9,lower,yes,no,16,17
no,42,male,more,1.773151,4,lower,yes,yes,22,24
no,42,male,more,1.773151,3.9,upper,yes,yes,17,20
no,33,male,more,0.7245926,4.1,lower,yes,yes,67,155
no,62,male,more,-1.181626,2.9,lower,yes,yes,28,70
no,62,male,more,-1.181626,2.8,lower,yes,yes,61,149
no,62,male,more,-1.181626,2.8,lower,yes,yes,49,137
no,62,male,more,-1.181626,4,upper,yes,yes,13,29
no,62,male,more,-1.181626,3.3,lower,yes,yes,28,55
no,62,male,more,-1.181626,3,lower,yes,yes,67,136
yes,35,female,more,1.769452,3.6,lower,yes,yes,20,60
yes,35,female,more,1.769452,3.8,lower,yes,yes,43,108
no,61,male,more,-0.5872612,3.9,lower,yes,yes,13,15
no,52,female,more,-0.0018324,4.7,lower,yes,yes,14,17
no,52,female,more,-0.0018324,4.7,lower,yes,yes,19,19
no,60,female,more,-0.0566766,3.9,upper,no,yes,18,19
no,60,female,more,-0.0566766,4.4,upper,no,yes,11,13
no,60,female,more,-0.0566766,3.6,upper,no,yes,18,19
no,60,female,more,-0.0566766,4.2,upper,no,yes,11,22
no,60,female,more,-0.0566766,3.4,upper,no,yes,7,20
no,60,female,more,-0.0566766,4,upper,no,yes,24,27
no,32,male,more,1.231394,4.2,lower,yes,yes,111,127
no,32,male,more,1.231394,4.4,upper,yes,yes,62,85
no,32,male,more,1.231394,4.5,lower,yes,yes,76,101
no,32,male,more,1.231394,3.2,lower,yes,yes,9,21
no,32,male,more,1.231394,4.3,upper,yes,yes,52,86
yes,42,female,more,0.4203998,3.3,upper,no,yes,52,67
yes,42,female,more,0.4203998,3.2,upper,no,yes,54,66
yes,42,female,single,0.4203998,4.1,lower,no,yes,28,35
